".","breastCancerAll","breastCancer100th","meanSugarPerson","sugarConsumption","meanFoodPerson","foodCountryMean","meanCholesterol","cholesterolInBlood"
"Denmark","3879","88.7","136.46785714286","4","3168.3564285714","1","5.6950606086957","1"
"Djibouti","52","19.5","94.128571428571","3","1692.1928571429","0","4.8890210434783","0"
"Dominican Rep.","1335","36.1","96.150952380952","3","2097.1371428571","0","4.6457109565217","0"
"Ecuador","1221","23.5","100.71761904762","3","2121.2454761905","0","4.9071936956522","0"
"Egypt","6945","24.2","65.623333333333","2","2779.4502380952","1","4.7882547391304","0"
"El Salvador","352","13.6","92.628095238095","3","2134.6961904762","0","4.7347087391304","0"
"Ethiopia","5142","24.7","9.0028571428571","0","1669.1185714286","0","4.2965413913043","0"
"Fiji","104","31.2","78.147380952381","2","2590.5271428571","1","4.8909466956522","0"
"Finland","3609","84.7","110.96","3","3103.0228571429","1","5.7816196086957","1"
"France","41957","91.9","100.78285714286","3","3411.4416666667","1","5.6974705652174","1"
"French Polynesia","84","34.2","84.60380952381","2","2718.1492857143","1","5.3478891304348","1"
"Gabon","98","18.2","38.096428571429","1","2403.1947619048","0","5.1007266086957","0"
"Gambia","34","6.4","63.732857142857","2","2249.1602380952","0","4.460195173913","0"
"Germany","55689","79.8","111.74285714286","3","3268.1457142857","1","5.7716736956522","1"
"Greece","4543","51.6","77.103095238095","2","3337.1271428571","1","5.2553537826087","1"
"Guatemala","949","25.9","97.194761904762","3","2118.4680952381","0","4.6565557391304","0"
"Guinea","411","15.3","17.875238095238","0","2335.2952380952","0","4.3683956521739","0"
"Guyana","96","29.5","113.50404761905","3","2426.4221428571","0","4.5354576521739","0"
"Haiti","136","4.4","60.925476190476","2","1864.269047619","0","4.4842444347826","0"
"Honduras","546","25.9","89.04","2","2159.7335714286","0","4.6452668695652","0"
