cname,ccodealp,epi_ehair,epi_ehwater,imf_gdpppps,wdi_hepcusd11,wdi_smokfem,wdi_smokmal,wdi_tubcdr,wdi_tubinc,wdi_tubtsr,wef_bit
Thailand,THA,68.58000183,57.61999893,0.75,629.5480957,2.400000095,42.29999924,52,172,81,5.313772202
Togo,TGO,66.75,5.179999828,0.008,109.1214676,,,61,69,86,
Tonga,TON,85.66999817,68.02999878,0.001,231.6370544,13.30000019,48.40000153,70,15,100,
Trinidad and Tobago,TTO,99.87999725,52.08000183,0.033,1688.626709,,,94,22,63,5.165956974
United Arab Emirates,ARE,86.73999786,82.41000366,0.303000003,1718.438721,,,45,1.899999976,76,5.54551506
Tunisia,TUN,98.55999756,54.56999969,0.123999998,747.5210571,,,97,31,89,5.767611504
Turkey,TUR,82.83000183,71.43000031,1.343999982,970.5976563,13.5,42.70000076,84,22,88,6.162957668
Turkmenistan,TKM,99.04000092,51.77999878,0.054000001,239.2030029,,,70,81,84,
Tuvalu,TUV,93.66999817,53.38999939,,490.8471069,,,80,241,70,
Uganda,UGA,66.91999817,13.93000031,0.061000001,141.1781006,3.200000048,18.10000038,70,179,77,4.024012566
Ukraine,UKR,80.90000153,65.30999756,0.409999996,634.2347412,14.39999962,51.40000153,90,101,71,5.447519779
Macedonia,MKD,62.5,70.51000214,0.027000001,796.9342041,,,88,19,86,5.403759956
Egypt,EGY,73.62000275,73.58999634,0.647000015,532.0127563,0.400000006,45.90000153,59,17,88,4.847501278
United Kingdom,GBR,95.33999634,100,2.858999968,3234.716797,20.10000038,21.79999924,95,14,80,6.456624031
Tanzania,TZA,68.43000031,3.680000067,0.085000001,116.6284943,4,29.20000076,34,378,90,3.477977037
United States,USA,95.58000183,86.48000336,19.56900024,8845.180664,16.29999924,21,86,3.700000048,84,5.563550472
Burkina Faso,BFA,69.33000183,14.01000023,0.028000001,95.38794708,5.099999905,33.09999847,57,55,80,4.523066521
Uruguay,URY,100,89.51000214,0.064000003,1593.672729,22,30,87,27,78,6.592752934
Uzbekistan,UZB,81.62999725,68.58999634,0.119000003,305.6229553,1.299999952,25.89999962,58,89,84,
Venezuela,VEN,99.16000366,49.00999832,0.463999987,871.2416382,,,88,25,82,5.125563622
Samoa,WSM,82.33000183,62.09000015,0.001,336.7342529,20.10000038,44.79999924,66,18,86,
Yemen,YEM,81.56999969,10.68999958,,217.7521515,,,82,48,88,5.293757915
Zambia,ZMB,71.73000336,11.11999989,0.027000001,175.189621,4.800000191,27.29999924,60,456,85,3.271780491
